gene_ID	var	rank
Crpow_TRINITY_DN34747_c0_g2	0.837547946013944	133109
Crpow_TRINITY_DN3828_c1_g1	0.8371249959066878	133108
Crpow_TRINITY_DN42_c0_g2	0.8366704930663046	133107
Crpow_TRINITY_DN41895_c0_g1	0.8350200618699299	133106
Crpow_TRINITY_DN1125_c0_g1	0.8342136019186844	133105
Crpow_TRINITY_DN20007_c0_g1	0.8312872808412246	133104
Crpow_TRINITY_DN10191_c1_g1	0.8304880249405794	133103
Crpow_TRINITY_DN17776_c0_g1	0.8296785084249801	133102
Crpow_TRINITY_DN62690_c0_g1	0.826373001150755	133101
Crpow_TRINITY_DN14448_c0_g1	0.8251107694287855	133100
Crpow_TRINITY_DN21843_c0_g1	0.8233718524191547	133099
Crpow_TRINITY_DN7593_c1_g1	0.8218222698235781	133098
Crpow_TRINITY_DN24940_c0_g1	0.8177783406088954	133097
Crpow_TRINITY_DN6202_c1_g1	0.817144070419502	133096
Crpow_TRINITY_DN3197_c0_g1	0.8161707223099308	133095
Crpow_TRINITY_DN4015_c0_g3	0.8151012559609523	133094
Crpow_TRINITY_DN21261_c0_g3	0.8145407972605414	133093
Crpow_TRINITY_DN118966_c2_g4	0.8121754354841084	133092
Crpow_TRINITY_DN785_c0_g2	0.8049883602678811	133091
Crpow_TRINITY_DN33513_c1_g1	0.8035859970738948	133090
Crpow_TRINITY_DN8685_c0_g1	0.8033398551544835	133089
Crpow_TRINITY_DN14613_c0_g1	0.8022594606465724	133088
Crpow_TRINITY_DN139277_c0_g1	0.8003171638011931	133087
Crpow_TRINITY_DN3559_c2_g2	0.7977637973436994	133086
Crpow_TRINITY_DN27644_c1_g2	0.7947531950488496	133085
Crpow_TRINITY_DN17927_c0_g1	0.7946220961286081	133084
Crpow_TRINITY_DN8022_c5_g1	0.7934090401550578	133083
Crpow_TRINITY_DN7588_c0_g1	0.7897838442128818	133082
Crpow_TRINITY_DN15934_c0_g4	0.787589513669874	133081
Crpow_TRINITY_DN17856_c0_g1	0.7873806262509974	133080
Crpow_TRINITY_DN9228_c1_g3	0.7855443545581077	133079
Crpow_TRINITY_DN13993_c0_g1	0.7842179858447492	133078
Crpow_TRINITY_DN21971_c1_g2	0.7836200203757782	133077
Crpow_TRINITY_DN6049_c0_g1	0.7835203477702428	133076
Crpow_TRINITY_DN61743_c0_g1	0.7832425841788394	133075
Crpow_TRINITY_DN20073_c0_g1	0.7818777686149281	133074
Crpow_TRINITY_DN12359_c0_g2	0.7803331357225227	133073
Crpow_TRINITY_DN133736_c0_g2	0.7800770285977267	133072
Crpow_TRINITY_DN2389_c0_g2	0.7767287680561021	133071
Crpow_TRINITY_DN19408_c0_g1	0.775537263871288	133070
Crpow_TRINITY_DN16748_c0_g1	0.7736692236678359	133069
Crpow_TRINITY_DN13923_c0_g1	0.7732791063975826	133068
Crpow_TRINITY_DN4521_c0_g1	0.7730306795671068	133067
Crpow_TRINITY_DN43705_c4_g1	0.7728918740250843	133066
Crpow_TRINITY_DN16831_c0_g1	0.771439742902275	133065
Crpow_TRINITY_DN37658_c0_g1	0.7711037008686918	133064
Crpow_TRINITY_DN3538_c0_g2	0.770658966803866	133063
Crpow_TRINITY_DN77743_c0_g2	0.7694129416183538	133062
Crpow_TRINITY_DN14508_c0_g1	0.7687941729588426	133061
Crpow_TRINITY_DN5149_c0_g2	0.7653483539284769	133060
Crpow_TRINITY_DN32937_c3_g1	0.7646492566351518	133059
Crpow_TRINITY_DN4893_c0_g3	0.7638656981272379	133058
Crpow_TRINITY_DN5406_c0_g1	0.7629767057945406	133057
Crpow_TRINITY_DN225145_c0_g1	0.7620502091625305	133056
Crpow_TRINITY_DN18356_c0_g1	0.761318985717172	133055
Crpow_TRINITY_DN28181_c0_g1	0.7604981274287052	133054
Crpow_TRINITY_DN64526_c0_g1	0.760117800702462	133053
Crpow_TRINITY_DN100336_c1_g1	0.7589879134829567	133052
Crpow_TRINITY_DN14703_c0_g1	0.7588839690129052	133051
Crpow_TRINITY_DN3552_c0_g1	0.7578108237864617	133050
Crpow_TRINITY_DN105512_c0_g2	0.7572058795461771	133049
Crpow_TRINITY_DN15975_c0_g3	0.7563306690015602	133048
Crpow_TRINITY_DN27698_c0_g1	0.7558030404740251	133047
Crpow_TRINITY_DN4609_c1_g1	0.755760318044152	133046
Crpow_TRINITY_DN70004_c1_g1	0.7556339881718384	133045
Crpow_TRINITY_DN14001_c0_g1	0.753937928664129	133044
Crpow_TRINITY_DN4491_c0_g1	0.7528257914621924	133043
Crpow_TRINITY_DN164711_c0_g1	0.7527349754676484	133042
Crpow_TRINITY_DN8197_c0_g1	0.7513528553144115	133041
Crpow_TRINITY_DN11439_c0_g1	0.7505129808258713	133040
Crpow_TRINITY_DN11639_c0_g2	0.7503111321903028	133039
